frame,track_id,label,xtl,ytl,xbr,ybr,outside,occluded,keyframe,z_order,source
16,0,motorcycle,497.74,386.29,523.64,407.01,0,0,0,0,file
16,10,car,504.11,403.62,563.68,438.59,0,0,0,0,manual
17,0,motorcycle,499.69,386.07,525.58,406.79,0,0,0,0,file
17,10,car,504.92,403.52,564.48,438.48,0,0,0,0,manual
18,0,motorcycle,501.63,385.86,527.52,406.58,0,0,0,0,file
18,10,car,505.72,403.42,565.29,438.38,0,0,0,0,manual
19,0,motorcycle,503.57,385.64,529.46,406.36,0,0,0,0,file
19,10,car,506.52,403.31,566.09,438.28,0,0,0,0,manual
20,0,motorcycle,505.51,385.43,531.41,406.15,0,0,0,0,file
20,10,car,507.32,403.21,566.89,438.17,0,0,0,0,manual
21,0,motorcycle,507.46,385.21,533.35,405.93,0,0,0,0,file
21,10,car,508.13,403.1,567.7,438.07,0,0,0,0,manual
22,0,motorcycle,509.4,385.0,535.29,405.72,0,0,0,0,file
22,10,car,508.93,403.0,568.5,437.96,0,0,0,0,manual
23,0,motorcycle,511.34,384.78,537.23,405.5,0,0,0,0,file
23,10,car,509.73,402.9,569.3,437.86,0,0,0,0,manual
24,0,motorcycle,513.28,384.56,539.18,405.28,0,0,0,0,file
24,10,car,510.54,402.79,570.1,437.76,0,0,0,0,manual
25,0,motorcycle,515.23,384.35,541.12,405.07,0,0,0,0,file
25,10,car,511.34,402.69,570.91,437.65,0,0,0,0,manual
26,0,motorcycle,517.17,384.13,543.06,404.85,0,0,0,0,file
26,10,car,512.14,402.59,571.71,437.55,0,0,0,0,manual
27,0,motorcycle,519.11,383.92,545.0,404.64,0,0,0,0,file
27,10,car,512.94,402.48,572.51,437.45,0,0,0,0,manual
28,0,motorcycle,521.05,383.7,546.95,404.42,0,0,0,0,file
28,10,car,513.75,402.38,573.32,437.34,0,0,0,0,manual
29,0,motorcycle,523.0,383.49,548.89,404.21,0,0,0,0,file
29,10,car,514.55,402.28,574.12,437.24,0,0,0,0,manual
30,0,motorcycle,524.94,383.27,550.83,403.99,0,0,1,0,file
30,10,car,515.35,402.17,574.92,437.14,0,0,0,0,manual
31,0,motorcycle,526.49,383.01,552.38,403.73,0,0,0,0,file
31,10,car,516.16,402.07,575.72,437.03,0,0,0,0,manual
32,0,motorcycle,528.05,382.75,553.94,403.47,0,0,0,0,file
32,10,car,516.96,401.96,576.53,436.93,0,0,0,0,manual
33,0,motorcycle,529.6,382.49,555.49,403.21,0,0,0,0,file
33,10,car,517.76,401.86,577.33,436.83,0,0,0,0,manual
34,0,motorcycle,531.15,382.23,557.05,402.95,0,0,0,0,file
34,10,car,518.56,401.76,578.13,436.72,0,0,0,0,manual
35,0,motorcycle,532.71,381.97,558.6,402.69,0,0,0,0,file
35,10,car,519.37,401.65,578.94,436.62,0,0,0,0,manual
36,0,motorcycle,534.26,381.72,560.15,402.44,0,0,0,0,file
36,10,car,520.17,401.55,579.74,436.51,0,0,0,0,manual
37,0,motorcycle,535.81,381.46,561.71,402.18,0,0,0,0,file
37,10,car,520.97,401.45,580.54,436.41,0,0,0,0,manual
38,0,motorcycle,537.37,381.2,563.26,401.92,0,0,0,0,file
38,10,car,521.78,401.34,581.34,436.31,0,0,0,0,manual
39,0,motorcycle,538.92,380.94,564.82,401.66,0,0,0,0,file
39,10,car,522.58,401.24,582.15,436.2,0,0,0,0,manual
40,0,motorcycle,540.48,380.68,566.37,401.4,0,0,0,0,file
40,10,car,523.38,401.14,582.95,436.1,0,0,0,0,manual
41,0,motorcycle,542.03,380.42,567.92,401.14,0,0,0,0,file
41,10,car,524.18,401.03,583.75,436.0,0,0,0,0,manual
42,0,motorcycle,543.58,380.16,569.48,400.88,0,0,0,0,file
42,10,car,524.99,400.93,584.56,435.89,0,0,0,0,manual
43,0,motorcycle,545.14,379.9,571.03,400.62,0,0,0,0,file
43,10,car,525.79,400.82,585.36,435.79,0,0,0,0,manual
44,0,motorcycle,546.69,379.64,572.59,400.36,0,0,0,0,file
44,10,car,526.59,400.72,586.16,435.69,0,0,0,0,manual
45,0,motorcycle,548.24,379.38,574.14,400.11,0,0,0,0,file
45,10,car,527.4,400.62,586.96,435.58,0,0,0,0,manual
46,0,motorcycle,549.8,379.13,575.69,399.85,0,0,0,0,file
46,10,car,528.2,400.51,587.77,435.48,0,0,0,0,manual
47,0,motorcycle,551.35,378.87,577.25,399.59,0,0,0,0,file
47,10,car,529.0,400.41,588.57,435.37,0,0,0,0,manual
48,0,motorcycle,552.9,378.61,578.8,399.33,0,0,0,0,file
48,10,car,529.8,400.31,589.37,435.27,0,0,0,0,manual
49,0,motorcycle,554.46,378.35,580.36,399.07,0,0,0,0,file
49,10,car,530.61,400.2,590.18,435.17,0,0,0,0,manual
50,0,motorcycle,556.01,378.09,581.91,398.81,0,0,1,0,file
50,10,car,531.41,400.1,590.98,435.06,0,0,1,0,manual
51,0,motorcycle,557.5,377.9,583.4,398.62,0,0,0,0,file
51,10,car,532.19,400.03,591.76,435.0,0,0,0,0,manual
52,0,motorcycle,558.99,377.7,584.89,398.42,0,0,0,0,file
52,10,car,532.96,399.97,592.53,434.93,0,0,0,0,manual
53,0,motorcycle,560.48,377.51,586.38,398.23,0,0,0,0,file
53,10,car,533.74,399.91,593.31,434.87,0,0,0,0,manual
54,0,motorcycle,561.97,377.31,587.87,398.03,0,0,0,0,file
54,10,car,534.52,399.84,594.09,434.8,0,0,0,0,manual
55,0,motorcycle,563.46,377.12,589.36,397.84,0,0,0,0,file
55,10,car,535.29,399.78,594.86,434.74,0,0,0,0,manual
56,0,motorcycle,564.95,376.92,590.85,397.64,0,0,0,0,file
56,10,car,536.07,399.71,595.64,434.68,0,0,0,0,manual
57,0,motorcycle,566.44,376.73,592.34,397.45,0,0,0,0,file
57,10,car,536.85,399.65,596.42,434.61,0,0,0,0,manual
58,0,motorcycle,567.93,376.53,593.83,397.25,0,0,0,0,file
58,10,car,537.63,399.58,597.19,434.55,0,0,0,0,manual
59,0,motorcycle,569.42,376.34,595.32,397.06,0,0,0,0,file
59,10,car,538.4,399.52,597.97,434.48,0,0,0,0,manual
60,0,motorcycle,570.9,376.14,596.81,396.87,0,0,0,0,file
60,10,car,539.18,399.45,598.75,434.42,0,0,0,0,manual
61,0,motorcycle,572.39,375.95,598.29,396.67,0,0,0,0,file
61,10,car,539.96,399.39,599.52,434.35,0,0,0,0,manual
62,0,motorcycle,573.88,375.76,599.78,396.48,0,0,0,0,file
62,10,car,540.73,399.32,600.3,434.29,0,0,0,0,manual
63,0,motorcycle,575.37,375.56,601.27,396.28,0,0,0,0,file
63,10,car,541.51,399.26,601.08,434.22,0,0,0,0,manual
64,0,motorcycle,576.86,375.37,602.76,396.09,0,0,0,0,file
64,10,car,542.29,399.19,601.86,434.16,0,0,0,0,manual
65,0,motorcycle,578.35,375.17,604.25,395.89,0,0,0,0,file
65,10,car,543.06,399.13,602.63,434.09,0,0,0,0,manual
66,0,motorcycle,579.84,374.98,605.74,395.7,0,0,0,0,file
66,10,car,543.84,399.06,603.41,434.03,0,0,0,0,manual
67,0,motorcycle,581.33,374.78,607.23,395.5,0,0,0,0,file
67,10,car,544.62,399.0,604.19,433.96,0,0,0,0,manual
68,0,motorcycle,582.82,374.59,608.72,395.31,0,0,0,0,file
68,10,car,545.4,398.93,604.96,433.9,0,0,0,0,manual
69,0,motorcycle,584.31,374.39,610.21,395.11,0,0,0,0,file
69,10,car,546.17,398.87,605.74,433.83,0,0,0,0,manual
69,11,motorcycle,662.2,438.95,685.51,475.21,0,0,1,0,manual
70,0,motorcycle,585.8,374.2,611.7,394.92,0,0,1,0,file
70,10,car,546.95,398.8,606.52,433.77,0,0,1,0,manual
70,11,motorcycle,662.05,438.46,685.36,474.72,0,0,0,0,manual
71,0,motorcycle,587.0,374.82,612.9,395.54,0,0,0,0,file
71,10,car,547.47,398.55,607.04,433.51,0,0,0,0,manual
71,11,motorcycle,661.89,437.97,685.2,474.22,0,0,0,0,manual
72,0,motorcycle,588.2,375.43,614.1,396.15,0,0,0,0,file
72,10,car,547.99,398.29,607.55,433.25,0,0,0,0,manual
72,11,motorcycle,661.74,437.47,685.04,473.73,0,0,0,0,manual
73,0,motorcycle,589.39,376.05,615.29,396.77,0,0,0,0,file
73,10,car,548.5,398.03,608.07,432.99,0,0,0,0,manual
73,11,motorcycle,661.58,436.98,684.89,473.24,0,0,0,0,manual
74,0,motorcycle,590.59,376.66,616.49,397.38,0,0,0,0,file
74,10,car,549.02,397.77,608.59,432.73,0,0,0,0,manual
74,11,motorcycle,661.42,436.49,684.73,472.75,0,0,0,0,manual
75,0,motorcycle,591.79,377.28,617.69,398.0,0,0,0,0,file
75,10,car,549.54,397.51,609.11,432.47,0,0,0,0,manual
75,11,motorcycle,661.27,436.0,684.58,472.26,0,0,0,0,manual
76,0,motorcycle,592.99,377.89,618.89,398.61,0,0,0,0,file
76,10,car,550.06,397.25,609.63,432.21,0,0,0,0,manual
76,11,motorcycle,661.11,435.5,684.42,471.76,0,0,0,0,manual
77,0,motorcycle,594.18,378.51,620.08,399.23,0,0,0,0,file
77,10,car,550.58,396.99,610.14,431.96,0,0,0,0,manual
77,11,motorcycle,660.96,435.01,684.27,471.27,0,0,0,0,manual
78,0,motorcycle,595.38,379.12,621.28,399.84,0,0,0,0,file
78,10,car,551.09,396.73,610.66,431.7,0,0,0,0,manual
78,11,motorcycle,660.8,434.52,684.11,470.78,0,0,0,0,manual
79,0,motorcycle,596.58,379.74,622.48,400.46,0,0,0,0,file
79,10,car,551.61,396.47,611.18,431.44,0,0,0,0,manual
79,11,motorcycle,660.65,434.03,683.96,470.29,0,0,0,0,manual
80,0,motorcycle,597.78,380.35,623.68,401.07,0,0,0,0,file
80,10,car,552.13,396.21,611.7,431.18,0,0,0,0,manual
80,11,motorcycle,660.49,433.54,683.8,469.8,0,0,0,0,manual
81,0,motorcycle,598.98,380.97,624.88,401.69,0,0,0,0,file
81,10,car,552.65,395.96,612.22,430.92,0,0,0,0,manual
81,11,motorcycle,660.34,433.04,683.65,469.3,0,0,0,0,manual
82,0,motorcycle,600.17,381.58,626.07,402.3,0,0,0,0,file
82,10,car,553.16,395.7,612.73,430.66,0,0,0,0,manual
82,11,motorcycle,660.18,432.55,683.49,468.81,0,0,0,0,manual
83,0,motorcycle,601.37,382.2,627.27,402.92,0,0,0,0,file
83,10,car,553.68,395.44,613.25,430.4,0,0,0,0,manual
83,11,motorcycle,660.03,432.06,683.34,468.32,0,0,0,0,manual
84,0,motorcycle,602.57,382.81,628.47,403.53,0,0,0,0,file
84,10,car,554.2,395.18,613.77,430.14,0,0,0,0,manual
84,11,motorcycle,659.87,431.57,683.18,467.83,0,0,0,0,manual
85,0,motorcycle,603.77,383.43,629.67,404.15,0,0,0,0,file
85,10,car,554.72,394.92,614.29,429.88,0,0,0,0,manual
85,11,motorcycle,659.72,431.08,683.02,467.34,0,0,0,0,manual
86,0,motorcycle,604.96,384.04,630.86,404.76,0,0,0,0,file
86,10,car,555.24,394.66,614.81,429.62,0,0,0,0,manual
86,11,motorcycle,659.56,430.58,682.87,466.84,0,0,0,0,manual
87,0,motorcycle,606.16,384.66,632.06,405.38,0,0,0,0,file
87,10,car,555.75,394.4,615.32,429.37,0,0,0,0,manual
87,11,motorcycle,659.4,430.09,682.71,466.35,0,0,0,0,manual
88,0,motorcycle,607.36,385.27,633.26,405.99,0,0,0,0,file
88,10,car,556.27,394.14,615.84,429.11,0,0,0,0,manual
88,11,motorcycle,659.25,429.6,682.56,465.86,0,0,0,0,manual
89,0,motorcycle,608.56,385.89,634.46,406.61,0,0,0,0,file
89,10,car,556.79,393.88,616.36,428.85,0,0,0,0,manual
89,11,motorcycle,659.09,429.11,682.4,465.37,0,0,0,0,manual
90,0,motorcycle,609.75,386.5,635.65,407.23,0,0,0,0,file
90,10,car,557.31,393.62,616.88,428.59,0,0,1,0,manual
90,11,motorcycle,658.94,428.62,682.25,464.87,0,0,0,0,manual
91,0,motorcycle,610.95,387.12,636.85,407.84,0,0,0,0,file
91,10,car,557.39,393.73,616.95,428.69,0,0,0,0,manual
91,11,motorcycle,658.78,428.12,682.09,464.38,0,0,0,0,manual
92,0,motorcycle,612.15,387.74,638.05,408.46,0,0,0,0,file
92,10,car,557.46,393.83,617.03,428.8,0,0,0,0,manual
92,11,motorcycle,658.63,427.63,681.94,463.89,0,0,0,0,manual
93,0,motorcycle,613.35,388.35,639.25,409.07,0,0,0,0,file
93,10,car,557.54,393.93,617.11,428.9,0,0,0,0,manual
93,11,motorcycle,658.47,427.14,681.78,463.4,0,0,0,0,manual
94,0,motorcycle,614.55,388.97,640.45,409.69,0,0,0,0,file
94,10,car,557.62,394.04,617.19,429.0,0,0,0,0,manual
94,11,motorcycle,658.32,426.65,681.63,462.91,0,0,0,0,manual
95,0,motorcycle,615.74,389.58,641.64,410.3,0,0,0,0,file
95,10,car,557.7,394.14,617.27,429.11,0,0,0,0,manual
95,11,motorcycle,658.16,426.16,681.47,462.41,0,0,0,0,manual
96,0,motorcycle,616.94,390.2,642.84,410.92,0,0,0,0,file
96,10,car,557.77,394.25,617.34,429.21,0,0,0,0,manual
96,11,motorcycle,658.01,425.66,681.32,461.92,0,0,0,0,manual
97,0,motorcycle,618.14,390.81,644.04,411.53,0,0,0,0,file
97,10,car,557.85,394.35,617.42,429.31,0,0,0,0,manual
97,11,motorcycle,657.85,425.17,681.16,461.43,0,0,0,0,manual
98,0,motorcycle,619.34,391.43,645.24,412.15,0,0,0,0,file
98,10,car,557.93,394.45,617.5,429.42,0,0,0,0,manual
98,11,motorcycle,657.69,424.68,681.0,460.94,0,0,0,0,manual
99,0,motorcycle,620.53,392.04,646.43,412.76,0,0,0,0,file
99,10,car,558.01,394.56,617.58,429.52,0,0,0,0,manual
99,11,motorcycle,657.54,424.19,680.85,460.45,0,0,0,0,manual
100,0,motorcycle,621.73,392.66,647.63,413.38,0,0,0,0,file
100,10,car,558.09,394.66,617.65,429.62,0,0,0,0,manual
100,11,motorcycle,657.38,423.69,680.69,459.95,0,0,0,0,manual
101,0,motorcycle,622.93,393.27,648.83,413.99,0,0,0,0,file
101,10,car,558.16,394.76,617.73,429.73,0,0,0,0,manual
101,11,motorcycle,657.23,423.2,680.54,459.46,0,0,0,0,manual
102,0,motorcycle,624.13,393.89,650.03,414.61,0,0,0,0,file
102,10,car,558.24,394.87,617.81,429.83,0,0,0,0,manual
102,11,motorcycle,657.07,422.71,680.38,458.97,0,0,0,0,manual
103,0,motorcycle,625.33,394.5,651.23,415.22,0,0,0,0,file
103,10,car,558.32,394.97,617.89,429.93,0,0,0,0,manual
103,11,motorcycle,656.92,422.22,680.23,458.48,0,0,0,0,manual
104,0,motorcycle,626.52,395.12,652.42,415.84,0,0,0,0,file
104,10,car,558.4,395.07,617.96,430.04,0,0,0,0,manual
104,11,motorcycle,656.76,421.73,680.07,457.99,0,0,0,0,manual
105,0,motorcycle,627.72,395.73,653.62,416.45,0,0,0,0,file
105,10,car,558.47,395.18,618.04,430.14,0,0,0,0,manual
105,11,motorcycle,656.61,421.23,679.92,457.49,0,0,0,0,manual
106,0,motorcycle,628.92,396.35,654.82,417.07,0,0,0,0,file
106,10,car,558.55,395.28,618.12,430.25,0,0,0,0,manual
106,11,motorcycle,656.45,420.74,679.76,457.0,0,0,0,0,manual
107,0,motorcycle,630.12,396.96,656.02,417.68,0,0,0,0,file
107,10,car,558.63,395.39,618.2,430.35,0,0,0,0,manual
107,11,motorcycle,656.3,420.25,679.61,456.51,0,0,0,0,manual
108,0,motorcycle,631.31,397.58,657.21,418.3,0,0,0,0,file
108,10,car,558.71,395.49,618.28,430.45,0,0,0,0,manual
108,11,motorcycle,656.14,419.76,679.45,456.02,0,0,0,0,manual
109,0,motorcycle,632.51,398.19,658.41,418.91,0,0,0,0,file
109,10,car,558.78,395.59,618.35,430.56,0,0,0,0,manual
109,11,motorcycle,655.99,419.27,679.29,455.52,0,0,0,0,manual
110,0,motorcycle,633.71,398.81,659.61,419.53,0,0,1,0,file
110,10,car,558.86,395.7,618.43,430.66,0,0,0,0,manual
110,11,motorcycle,655.83,418.77,679.14,455.03,0,0,0,0,manual
111,0,motorcycle,635.39,398.98,661.29,419.7,0,0,0,0,file
111,10,car,558.94,395.8,618.51,430.76,0,0,0,0,manual
111,11,motorcycle,655.67,418.28,678.98,454.54,0,0,0,0,manual
112,0,motorcycle,637.08,399.16,662.98,419.87,0,0,0,0,file
112,10,car,559.02,395.9,618.59,430.87,0,0,0,0,manual
112,11,motorcycle,655.52,417.79,678.83,454.05,0,0,0,0,manual
113,0,motorcycle,638.76,399.33,664.66,420.05,0,0,0,0,file
113,10,car,559.1,396.01,618.66,430.97,0,0,0,0,manual
113,11,motorcycle,655.36,417.3,678.67,453.56,0,0,0,0,manual
114,0,motorcycle,640.44,399.5,666.34,420.22,0,0,0,0,file
114,10,car,559.17,396.11,618.74,431.07,0,0,0,0,manual
114,11,motorcycle,655.21,416.81,678.52,453.06,0,0,0,0,manual
115,0,motorcycle,642.13,399.67,668.03,420.39,0,0,0,0,file
115,10,car,559.25,396.21,618.82,431.18,0,0,0,0,manual
115,11,motorcycle,655.05,416.31,678.36,452.57,0,0,0,0,manual
116,0,motorcycle,643.81,399.85,669.71,420.56,0,0,0,0,file
116,10,car,559.33,396.32,618.9,431.28,0,0,0,0,manual
116,11,motorcycle,654.9,415.82,678.21,452.08,0,0,0,0,manual
117,0,motorcycle,645.5,400.02,671.4,420.74,0,0,0,0,file
117,10,car,559.41,396.42,618.97,431.39,0,0,0,0,manual
117,11,motorcycle,654.74,415.33,678.05,451.59,0,0,0,0,manual
118,0,motorcycle,647.18,400.19,673.08,420.91,0,0,0,0,file
118,10,car,559.48,396.52,619.05,431.49,0,0,0,0,manual
118,11,motorcycle,654.59,414.84,677.9,451.1,0,0,0,0,manual
119,0,motorcycle,648.86,400.36,674.76,421.08,0,0,0,0,file
119,10,car,559.56,396.63,619.13,431.59,0,0,0,0,manual
119,11,motorcycle,654.43,414.34,677.74,450.6,0,0,1,0,manual
120,0,motorcycle,650.55,400.54,676.45,421.25,0,0,0,0,file
120,10,car,559.64,396.73,619.21,431.7,0,0,0,0,manual
120,11,motorcycle,654.5,413.96,677.81,450.22,0,0,0,0,manual
121,0,motorcycle,652.23,400.71,678.13,421.43,0,0,0,0,file
121,10,car,559.72,396.84,619.29,431.8,0,0,0,0,manual
121,11,motorcycle,654.56,413.57,677.87,449.83,0,0,0,0,manual
122,0,motorcycle,653.91,400.88,679.81,421.6,0,0,0,0,file
122,10,car,559.79,396.94,619.36,431.9,0,0,0,0,manual
122,11,motorcycle,654.63,413.18,677.94,449.44,0,0,0,0,manual
123,0,motorcycle,655.6,401.05,681.5,421.77,0,0,0,0,file
123,10,car,559.87,397.04,619.44,432.01,0,0,0,0,manual
123,11,motorcycle,654.69,412.79,678.0,449.05,0,0,0,0,manual
124,0,motorcycle,657.28,401.23,683.18,421.94,0,0,0,0,file
124,10,car,559.95,397.15,619.52,432.11,0,0,0,0,manual
124,11,motorcycle,654.76,412.4,678.06,448.66,0,0,0,0,manual
125,0,motorcycle,658.97,401.4,684.87,422.12,0,0,0,0,file
125,10,car,560.03,397.25,619.6,432.21,0,0,0,0,manual
125,11,motorcycle,654.82,412.01,678.13,448.27,0,0,0,0,manual
126,0,motorcycle,660.65,401.57,686.55,422.29,0,0,0,0,file
126,10,car,560.11,397.35,619.67,432.32,0,0,0,0,manual
126,11,motorcycle,654.88,411.63,678.19,447.88,0,0,0,0,manual
127,0,motorcycle,662.33,401.75,688.23,422.46,0,0,0,0,file
127,10,car,560.18,397.46,619.75,432.42,0,0,0,0,manual
127,11,motorcycle,654.95,411.24,678.26,447.5,0,0,0,0,manual
128,0,motorcycle,664.02,401.92,689.92,422.63,0,0,0,0,file
128,10,car,560.26,397.56,619.83,432.52,0,0,0,0,manual
128,11,motorcycle,655.01,410.85,678.32,447.11,0,0,0,0,manual
129,0,motorcycle,665.7,402.09,691.6,422.8,0,0,0,0,file
129,10,car,560.34,397.66,619.91,432.63,0,0,0,0,manual
129,11,motorcycle,655.08,410.46,678.39,446.72,0,0,0,0,manual
130,0,motorcycle,667.38,402.26,693.28,422.98,0,0,0,0,file
130,10,car,560.42,397.77,619.98,432.73,0,0,0,0,manual
130,11,motorcycle,655.14,410.07,678.45,446.33,0,0,0,0,manual
131,0,motorcycle,669.07,402.44,694.97,423.15,0,0,0,0,file
131,10,car,560.49,397.87,620.06,432.84,0,0,0,0,manual
131,11,motorcycle,655.21,409.68,678.52,445.94,0,0,0,0,manual
132,0,motorcycle,670.75,402.61,696.65,423.32,0,0,0,0,file
132,10,car,560.57,397.97,620.14,432.94,0,0,0,0,manual
132,11,motorcycle,655.27,409.29,678.58,445.55,0,0,0,0,manual
133,0,motorcycle,672.43,402.78,698.33,423.49,0,0,0,0,file
133,10,car,560.65,398.08,620.22,433.04,0,0,0,0,manual
133,11,motorcycle,655.34,408.91,678.65,445.17,0,0,0,0,manual
134,0,motorcycle,674.12,402.95,700.02,423.67,0,0,0,0,file
134,10,car,560.73,398.18,620.3,433.15,0,0,0,0,manual
134,11,motorcycle,655.4,408.52,678.71,444.78,0,0,0,0,manual
135,0,motorcycle,675.8,403.13,701.7,423.84,0,0,0,0,file
135,10,car,560.8,398.29,620.37,433.25,0,0,0,0,manual
135,11,motorcycle,655.47,408.13,678.78,444.39,0,0,0,0,manual
136,0,motorcycle,677.49,403.3,703.39,424.01,0,0,0,0,file
136,10,car,560.88,398.39,620.45,433.35,0,0,0,0,manual
136,11,motorcycle,655.53,407.74,678.84,444.0,0,0,0,0,manual
137,0,motorcycle,679.17,403.47,705.07,424.18,0,0,0,0,file
137,10,car,560.96,398.49,620.53,433.46,0,0,0,0,manual
137,11,motorcycle,655.6,407.35,678.91,443.61,0,0,0,0,manual
138,0,motorcycle,680.85,403.64,706.75,424.36,0,0,0,0,file
138,10,car,561.04,398.6,620.61,433.56,0,0,0,0,manual
138,11,motorcycle,655.66,406.96,678.97,443.22,0,0,0,0,manual
139,0,motorcycle,682.54,403.82,708.44,424.53,0,0,0,0,file
139,10,car,561.12,398.7,620.68,433.66,0,0,0,0,manual
139,11,motorcycle,655.73,406.58,679.04,442.83,0,0,1,0,manual
140,0,motorcycle,684.22,403.99,710.12,424.7,0,0,1,0,file
140,10,car,561.19,398.8,620.76,433.77,0,0,1,0,manual
140,11,motorcycle,655.99,406.4,679.29,442.66,0,0,0,0,manual
141,0,motorcycle,685.93,404.14,711.83,424.85,0,0,0,0,file
141,10,car,561.61,399.35,621.18,434.32,0,0,0,0,manual
141,11,motorcycle,656.24,406.23,679.55,442.49,0,0,0,0,manual
142,0,motorcycle,687.65,404.29,713.55,425.01,0,0,0,0,file
142,10,car,562.04,399.9,621.6,434.87,0,0,0,0,manual
142,11,motorcycle,656.5,406.06,679.81,442.32,0,0,0,0,manual
143,0,motorcycle,689.36,404.45,715.26,425.16,0,0,0,0,file
143,10,car,562.46,400.45,622.02,435.42,0,0,0,0,manual
143,11,motorcycle,656.76,405.88,680.07,442.14,0,0,0,0,manual
144,0,motorcycle,691.08,404.6,716.98,425.31,0,0,0,0,file
144,10,car,562.88,401.01,622.45,435.97,0,0,0,0,manual
144,11,motorcycle,657.02,405.71,680.33,441.97,0,0,0,0,manual
145,0,motorcycle,692.79,404.75,718.69,425.46,0,0,0,0,file
145,10,car,563.3,401.56,622.87,436.52,0,0,0,0,manual
145,11,motorcycle,657.28,405.54,680.59,441.8,0,0,0,0,manual
146,0,motorcycle,694.5,404.9,720.4,425.62,0,0,0,0,file
146,10,car,563.72,402.11,623.29,437.07,0,0,0,0,manual
146,11,motorcycle,657.54,405.37,680.85,441.63,0,0,0,0,manual
147,0,motorcycle,696.22,405.06,722.12,425.77,0,0,0,0,file
147,10,car,564.14,402.66,623.71,437.62,0,0,0,0,manual
147,11,motorcycle,657.8,405.19,681.11,441.45,0,0,0,0,manual
148,0,motorcycle,697.93,405.21,723.83,425.92,0,0,0,0,file
148,10,car,564.56,403.21,624.13,438.17,0,0,0,0,manual
148,11,motorcycle,658.06,405.02,681.37,441.28,0,0,0,0,manual
149,0,motorcycle,699.64,405.36,725.54,426.07,0,0,0,0,file
149,10,car,564.98,403.76,624.55,438.72,0,0,0,0,manual
149,11,motorcycle,658.32,404.85,681.63,441.11,0,0,0,0,manual
150,0,motorcycle,701.36,405.51,727.26,426.23,0,0,0,0,file
150,10,car,565.4,404.31,624.97,439.27,0,0,0,0,manual
150,11,motorcycle,658.58,404.68,681.88,440.93,0,0,0,0,manual
151,0,motorcycle,703.07,405.67,728.97,426.38,0,0,0,0,file
151,10,car,565.82,404.86,625.39,439.82,0,0,0,0,manual
151,11,motorcycle,658.83,404.5,682.14,440.76,0,0,0,0,manual
152,0,motorcycle,704.79,405.82,730.69,426.53,0,0,0,0,file
152,10,car,566.24,405.41,625.81,440.37,0,0,0,0,manual
152,11,motorcycle,659.09,404.33,682.4,440.59,0,0,0,0,manual
153,0,motorcycle,706.5,405.97,732.4,426.68,0,0,0,0,file
153,10,car,566.66,405.96,626.23,440.92,0,0,0,0,manual
153,11,motorcycle,659.35,404.16,682.66,440.42,0,0,0,0,manual
154,0,motorcycle,708.21,406.12,734.11,426.84,0,0,0,0,file
154,10,car,567.09,406.51,626.65,441.47,0,0,0,0,manual
154,11,motorcycle,659.61,403.98,682.92,440.24,0,0,0,0,manual
155,0,motorcycle,709.93,406.28,735.83,426.99,0,0,0,0,file
