frame,track_id,class_name,xtl,ytl,xbr,ybr,is_dangerous,sample_weight
80,35,car,553.04,388.72,613.49,436.97,0,3.0
80,71,motorcycle,626.77,465.26,640.73,490.29,1,10.0
80,6,motorcycle,664.13,438.54,674.12,461.66,0,3.0
81,71,motorcycle,626.69,465.04,645.18,491.15,1,10.0
81,6,motorcycle,664.23,436.82,674.21,460.93,0,3.0
82,71,motorcycle,626.69,463.65,648.05,491.35,1,10.0
82,35,car,554.24,389.44,614.31,437.39,0,3.0
82,71,motorcycle,626.69,463.65,648.05,491.35,1,10.0
82,6,motorcycle,664.07,435.67,674.22,460.41,0,3.0
83,71,motorcycle,626.27,462.7,648.78,491.76,1,10.0
83,35,car,554.71,389.54,615.07,437.19,0,3.0
83,71,motorcycle,626.27,462.7,648.78,491.76,1,10.0
83,6,motorcycle,663.92,434.11,674.16,459.99,0,3.0
84,71,motorcycle,625.62,463.58,647.1,492.31,1,10.0
84,35,car,555.31,389.23,615.9,437.18,0,3.0
84,71,motorcycle,625.62,463.58,647.1,492.31,1,10.0
84,6,motorcycle,663.78,433.05,673.92,459.11,0,3.0
85,71,motorcycle,626.2,462.93,646.78,492.83,1,10.0
85,35,car,555.86,389.41,616.64,437.08,0,3.0
85,71,motorcycle,626.2,462.93,646.78,492.83,1,10.0
85,6,motorcycle,663.46,431.94,673.77,458.54,0,3.0
86,71,motorcycle,625.77,462.71,647.91,493.17,1,10.0
86,35,car,556.33,389.12,617.68,437.03,0,3.0
86,71,motorcycle,625.77,462.71,647.91,493.17,1,10.0
86,6,motorcycle,663.2,431.67,673.7,457.95,0,3.0
87,71,motorcycle,625.7,462.5,649.93,494.11,1,10.0
87,35,car,556.67,388.89,618.09,436.87,0,3.0
87,71,motorcycle,625.7,462.5,649.93,494.11,1,10.0
87,6,motorcycle,662.98,430.24,673.47,457.59,0,3.0
88,71,motorcycle,625.03,463.88,648.88,494.57,1,10.0
88,35,car,557.03,388.86,618.42,436.6,0,3.0
88,71,motorcycle,625.03,463.88,648.88,494.57,1,10.0
88,6,motorcycle,662.85,429.37,673.16,457.2,0,3.0
89,71,motorcycle,624.88,462.83,649.48,495.37,1,10.0
89,35,car,557.3,388.78,619.35,436.02,0,3.0
89,71,motorcycle,624.88,462.83,649.48,495.37,1,10.0
89,6,motorcycle,662.63,429.02,673.04,456.2,0,3.0
90,71,motorcycle,624.89,462.14,650.64,495.85,1,10.0
90,35,car,557.55,389.2,619.23,435.99,0,3.0
90,71,motorcycle,624.89,462.14,650.64,495.85,1,10.0
90,6,motorcycle,662.45,428.63,672.86,455.44,0,3.0
91,71,motorcycle,625.58,462.3,650.63,496.12,1,10.0
91,35,car,558.03,389.4,619.6,435.95,0,3.0
91,71,motorcycle,625.58,462.3,650.63,496.12,1,10.0
91,6,motorcycle,662.6,428.84,672.83,454.84,0,3.0
92,71,motorcycle,626.25,468.17,644.7,496.37,1,10.0
92,35,car,558.46,389.49,620.27,435.91,0,3.0
92,71,motorcycle,626.25,468.17,644.7,496.37,1,10.0
92,6,motorcycle,662.45,428.47,672.77,454.05,0,3.0
93,71,motorcycle,626.5,470.9,642.13,496.87,1,10.0
93,35,car,558.71,389.55,619.54,435.83,0,3.0
93,71,motorcycle,626.5,470.9,642.13,496.87,1,10.0
93,6,motorcycle,662.48,428.13,672.6,453.32,0,3.0
94,71,motorcycle,626.94,471.97,641.33,497.45,1,10.0
94,35,car,558.94,389.6,620.13,435.71,0,3.0
94,71,motorcycle,626.94,471.97,641.33,497.45,1,10.0
94,6,motorcycle,662.36,428.86,672.52,452.82,0,3.0
95,71,motorcycle,627.23,472.21,641.42,497.63,1,10.0
95,35,car,559.19,389.53,619.9,435.52,0,3.0
95,71,motorcycle,627.23,472.21,641.42,497.63,1,10.0
95,6,motorcycle,662.38,427.68,672.32,452.06,0,3.0
96,71,motorcycle,627.71,472.4,641.24,497.3,1,10.0
96,6,motorcycle,662.18,426.26,672.31,451.43,0,3.0
97,71,motorcycle,628.0,472.31,641.45,497.26,1,10.0
97,6,motorcycle,661.78,426.09,672.23,451.06,0,3.0
98,71,motorcycle,628.21,472.47,641.31,497.76,1,10.0
98,35,car,559.89,389.15,619.74,431.23,0,3.0
98,71,motorcycle,628.21,472.47,641.31,497.76,1,10.0
98,6,motorcycle,661.51,426.34,672.1,450.95,0,3.0
99,71,motorcycle,628.37,472.64,641.24,498.3,1,10.0
99,35,car,559.91,389.08,619.83,430.94,0,3.0
99,71,motorcycle,628.37,472.64,641.24,498.3,1,10.0
99,6,motorcycle,661.24,426.35,671.83,450.43,0,3.0
100,71,motorcycle,629.22,473.69,653.43,507.49,1,10.0
100,6,motorcycle,660.98,425.75,671.57,449.43,0,3.0
101,71,motorcycle,629.0,473.16,655.38,506.18,1,10.0
101,6,motorcycle,660.55,424.83,671.35,448.55,0,3.0
102,71,motorcycle,628.94,473.17,655.33,505.43,1,10.0
102,6,motorcycle,660.43,424.21,671.38,447.97,0,3.0
103,71,motorcycle,628.65,474.66,654.65,509.41,1,10.0
103,6,motorcycle,660.57,423.46,671.19,447.41,0,3.0
104,71,motorcycle,628.3,475.38,653.29,510.09,1,10.0
104,35,car,559.89,388.97,619.48,431.53,0,3.0
104,71,motorcycle,628.3,475.38,653.29,510.09,1,10.0
104,6,motorcycle,636.27,437.16,658.09,465.85,0,3.0
105,71,motorcycle,627.32,476.11,652.25,512.14,1,10.0
105,6,motorcycle,627.02,442.03,652.94,471.66,0,3.0
106,71,motorcycle,627.18,475.45,650.56,510.56,1,10.0
106,6,motorcycle,624.0,443.07,651.68,473.21,0,3.0
107,71,motorcycle,650.1,435.51,665.27,464.0,1,10.0
107,6,motorcycle,623.28,442.99,651.58,473.37,0,3.0
108,71,motorcycle,658.17,420.66,670.21,446.61,1,10.0
108,35,car,559.45,389.12,619.85,432.97,0,3.0
108,71,motorcycle,658.17,420.66,670.21,446.61,1,10.0
108,6,motorcycle,623.55,442.61,651.07,472.29,0,3.0
109,71,motorcycle,660.76,415.99,671.69,440.88,1,10.0
109,35,car,559.47,388.96,619.87,431.78,0,3.0
109,71,motorcycle,660.76,415.99,671.69,440.88,1,10.0
109,6,motorcycle,624.5,442.73,651.46,472.68,0,3.0
110,71,motorcycle,661.32,414.9,671.85,439.15,1,10.0
110,35,car,559.48,388.75,619.89,430.71,0,3.0
110,71,motorcycle,661.32,414.9,671.85,439.15,1,10.0
110,6,motorcycle,624.93,441.08,652.21,472.62,0,3.0
111,71,motorcycle,661.03,415.3,671.55,438.84,1,10.0
111,6,motorcycle,625.08,440.06,652.4,472.64,0,3.0
112,71,motorcycle,660.51,415.99,671.22,439.15,1,10.0
112,35,car,559.34,388.52,619.99,430.82,0,3.0
112,71,motorcycle,660.51,415.99,671.22,439.15,1,10.0
112,6,motorcycle,625.12,439.48,652.47,472.32,0,3.0
113,71,motorcycle,660.18,416.77,670.89,439.61,1,10.0
113,6,motorcycle,625.14,438.79,652.56,471.54,0,3.0
114,71,motorcycle,659.8,418.0,670.56,439.67,1,10.0
114,6,motorcycle,625.03,438.37,652.59,471.23,0,3.0
115,71,motorcycle,659.47,417.6,670.31,439.65,1,10.0
115,6,motorcycle,624.26,437.55,652.32,471.41,0,3.0
116,71,motorcycle,659.26,418.9,670.13,439.57,1,10.0
116,6,motorcycle,624.22,436.79,652.33,471.65,0,3.0
117,71,motorcycle,659.05,419.01,670.05,439.47,1,10.0
117,6,motorcycle,624.02,436.35,652.35,472.73,0,3.0
118,71,motorcycle,624.69,462.82,650.56,489.71,1,10.0
118,6,motorcycle,623.66,435.69,652.41,472.97,0,3.0
119,71,motorcycle,611.15,481.34,642.09,506.11,1,10.0
119,6,motorcycle,623.16,435.46,652.35,473.33,0,3.0
120,71,motorcycle,606.07,488.09,638.23,512.41,1,10.0
120,35,car,559.15,388.42,619.88,431.26,0,3.0
120,71,motorcycle,606.07,488.09,638.23,512.41,1,10.0
120,6,motorcycle,623.31,435.09,652.33,473.67,0,3.0
121,71,motorcycle,603.86,490.03,637.14,513.13,1,10.0
121,35,car,559.13,388.77,619.8,434.05,0,3.0
121,71,motorcycle,603.86,490.03,637.14,513.13,1,10.0
121,6,motorcycle,623.76,434.94,652.41,473.38,0,3.0
122,71,motorcycle,602.57,490.15,638.16,513.42,1,10.0
122,35,car,559.09,388.97,619.87,432.77,0,3.0
122,71,motorcycle,602.57,490.15,638.16,513.42,1,10.0
122,6,motorcycle,624.21,435.0,652.55,473.87,0,3.0
123,71,motorcycle,602.13,490.04,633.87,512.88,1,10.0
123,6,motorcycle,624.3,435.09,652.51,474.22,0,3.0
124,71,motorcycle,601.52,489.42,632.14,512.78,1,10.0
124,6,motorcycle,624.27,435.11,652.5,474.69,0,3.0
125,71,motorcycle,601.19,489.17,627.1,511.65,1,10.0
125,35,car,559.46,389.64,619.79,434.59,0,3.0
125,71,motorcycle,601.19,489.17,627.1,511.65,1,10.0
125,6,motorcycle,623.89,433.73,652.3,474.73,0,3.0
126,71,motorcycle,583.79,449.39,607.63,471.88,1,10.0
126,35,car,559.6,389.78,620.07,434.14,0,3.0
126,71,motorcycle,583.79,449.39,607.63,471.88,1,10.0
126,6,motorcycle,623.47,433.86,652.16,475.23,0,3.0
127,71,motorcycle,578.68,434.81,602.01,457.99,1,10.0
127,6,motorcycle,623.75,433.83,652.07,475.85,0,3.0
128,71,motorcycle,577.85,429.72,601.07,453.54,1,10.0
128,6,motorcycle,624.01,434.5,651.98,476.53,0,3.0
129,71,motorcycle,577.82,429.28,602.84,452.77,1,10.0
129,35,car,559.41,390.01,620.41,432.94,0,3.0
129,71,motorcycle,577.82,429.28,602.84,452.77,1,10.0
129,6,motorcycle,623.66,434.17,651.02,477.48,0,3.0
130,71,motorcycle,579.3,430.09,603.01,453.22,1,10.0
130,35,car,559.4,390.23,620.31,432.65,0,3.0
130,71,motorcycle,579.3,430.09,603.01,453.22,1,10.0
130,6,motorcycle,624.64,431.87,651.62,467.29,0,3.0
131,71,motorcycle,580.29,430.93,603.71,454.26,1,10.0
131,6,motorcycle,625.02,430.0,651.82,463.65,0,3.0
132,71,motorcycle,581.73,431.83,605.36,454.93,1,10.0
132,6,motorcycle,625.96,428.84,651.88,461.62,0,3.0
133,71,motorcycle,583.27,432.91,606.57,456.01,1,10.0
133,6,motorcycle,626.64,427.83,652.0,460.56,0,3.0
134,71,motorcycle,584.51,433.66,607.2,456.51,1,10.0
134,35,car,558.99,390.75,621.23,436.51,0,3.0
134,71,motorcycle,584.51,433.66,607.2,456.51,1,10.0
134,6,motorcycle,626.73,427.29,652.26,461.84,0,3.0
135,71,motorcycle,585.86,433.74,608.75,457.46,1,10.0
135,6,motorcycle,625.57,428.33,652.24,471.58,0,3.0
136,71,motorcycle,586.62,434.26,611.3,457.91,1,10.0
136,6,motorcycle,625.69,432.64,652.39,476.82,0,3.0
137,71,motorcycle,587.41,434.63,612.75,458.28,1,10.0
137,35,car,560.11,390.86,622.91,436.61,0,3.0
137,71,motorcycle,587.41,434.63,612.75,458.28,1,10.0
137,6,motorcycle,625.38,433.24,652.42,480.02,0,3.0
138,71,motorcycle,588.38,434.68,614.02,458.41,1,10.0
138,6,motorcycle,629.09,434.01,652.86,467.71,0,3.0
139,71,motorcycle,588.88,435.06,615.1,458.64,1,10.0
139,35,car,560.78,391.29,622.4,437.85,0,3.0
139,71,motorcycle,588.88,435.06,615.1,458.64,1,10.0
139,6,motorcycle,630.77,434.63,653.19,462.84,0,3.0
140,71,motorcycle,590.26,436.1,616.27,459.08,1,10.0
140,35,car,561.35,392.23,622.46,440.06,0,3.0
140,71,motorcycle,590.26,436.1,616.27,459.08,1,10.0
140,6,motorcycle,631.03,426.94,653.88,460.95,0,3.0
141,71,motorcycle,591.36,436.17,617.16,459.46,1,10.0
141,35,car,561.74,393.1,622.49,442.11,0,3.0
141,71,motorcycle,591.36,436.17,617.16,459.46,1,10.0
141,6,motorcycle,631.54,431.27,654.19,460.51,0,3.0
142,71,motorcycle,592.47,436.89,618.54,459.91,1,10.0
142,35,car,561.91,393.71,622.48,443.56,0,3.0
142,71,motorcycle,592.47,436.89,618.54,459.91,1,10.0
142,6,motorcycle,631.81,431.65,654.28,460.41,0,3.0
143,71,motorcycle,593.89,436.99,620.02,460.48,1,10.0
143,6,motorcycle,631.89,424.72,654.55,460.65,0,3.0
144,71,motorcycle,595.06,436.86,621.37,460.51,1,10.0
144,35,car,562.28,394.89,623.06,445.25,0,3.0
144,71,motorcycle,595.06,436.86,621.37,460.51,1,10.0
144,6,motorcycle,631.77,423.21,651.55,455.81,0,3.0
145,71,motorcycle,596.14,438.15,622.63,461.9,1,10.0
145,35,car,562.72,395.14,623.35,445.79,0,3.0
146,71,motorcycle,597.07,438.21,623.57,462.41,1,10.0
146,35,car,563.13,395.41,623.79,446.46,0,3.0
148,71,motorcycle,599.64,440.15,622.46,464.25,1,10.0
148,35,car,564.0,396.7,624.87,447.33,0,3.0
149,71,motorcycle,601.08,439.31,623.86,463.55,1,10.0
149,35,car,564.51,397.39,624.95,447.78,0,3.0
150,71,motorcycle,601.73,440.5,624.21,464.19,1,10.0
150,35,car,564.84,397.63,625.1,448.17,0,3.0
151,71,motorcycle,602.67,440.07,625.96,464.33,1,10.0
151,35,car,565.09,398.09,625.29,448.52,0,3.0
152,71,motorcycle,603.54,439.67,627.38,464.8,1,10.0
152,35,car,565.19,398.56,625.57,448.94,0,3.0
153,71,motorcycle,605.25,428.23,646.82,465.38,1,10.0
153,35,car,565.24,399.05,625.81,449.21,0,3.0
154,71,motorcycle,605.55,434.83,635.46,465.86,1,10.0
154,35,car,565.47,399.6,626.3,449.57,0,3.0
155,71,motorcycle,606.05,439.43,632.44,467.63,1,10.0
155,35,car,565.94,400.18,626.78,450.12,0,3.0
156,71,motorcycle,681.55,417.86,703.1,444.13,1,10.0
156,35,car,566.62,400.88,627.13,450.85,0,3.0
157,71,motorcycle,710.43,410.33,729.99,436.11,1,10.0
157,35,car,567.35,401.39,627.6,451.37,0,3.0
158,71,motorcycle,720.9,407.67,739.97,431.29,1,10.0
158,35,car,567.85,401.91,627.99,451.82,0,3.0
159,71,motorcycle,724.27,407.47,742.76,430.66,1,10.0
159,35,car,568.17,402.58,628.42,452.35,0,3.0
160,71,motorcycle,725.48,407.63,744.93,430.32,1,10.0
160,35,car,568.5,403.02,628.96,452.32,0,3.0
161,71,motorcycle,726.07,407.92,745.27,430.75,1,10.0
161,35,car,568.59,403.54,629.36,452.46,0,3.0
162,71,motorcycle,726.55,408.45,746.77,432.79,1,10.0
162,35,car,568.76,403.91,629.75,453.0,0,3.0
170,71,motorcycle,737.72,410.77,759.98,433.8,1,10.0
170,35,car,572.51,409.46,632.84,455.87,0,3.0
172,71,motorcycle,742.1,410.99,762.85,434.35,1,10.0
172,35,car,573.96,410.81,633.75,457.51,0,3.0
173,71,motorcycle,744.07,411.42,764.65,434.58,1,10.0
173,35,car,574.46,411.51,634.17,458.11,0,3.0
174,71,motorcycle,745.69,411.15,766.99,434.23,1,10.0
174,35,car,574.8,412.11,634.52,458.66,0,3.0
175,71,motorcycle,747.01,411.79,768.03,435.31,1,10.0
175,35,car,575.05,412.7,634.4,458.13,0,3.0
176,71,motorcycle,748.01,411.3,770.65,434.81,1,10.0
176,35,car,575.26,413.75,634.29,459.45,0,3.0
176,71,motorcycle,748.01,411.3,770.65,434.81,1,10.0
176,6,motorcycle,635.95,445.66,663.82,476.89,0,3.0
177,71,motorcycle,749.49,411.17,772.41,435.11,1,10.0
177,35,car,575.86,414.44,635.31,460.68,0,3.0
177,71,motorcycle,749.49,411.17,772.41,435.11,1,10.0
177,6,motorcycle,636.46,444.96,664.88,478.03,0,3.0
178,71,motorcycle,749.16,411.26,774.06,436.02,1,10.0
178,35,car,576.31,415.05,636.14,461.98,0,3.0
178,71,motorcycle,749.16,411.26,774.06,436.02,1,10.0
178,6,motorcycle,638.35,445.91,666.35,478.45,0,3.0
179,71,motorcycle,741.86,378.25,765.24,403.9,1,10.0
179,35,car,576.87,415.93,636.87,462.93,0,3.0
179,71,motorcycle,741.86,378.25,765.24,403.9,1,10.0
179,6,motorcycle,640.67,445.78,667.48,478.03,0,3.0
180,71,motorcycle,740.26,367.31,763.17,393.34,1,10.0
180,35,car,577.34,416.74,637.18,463.59,0,3.0
180,71,motorcycle,740.26,367.31,763.17,393.34,1,10.0
180,6,motorcycle,643.69,446.21,668.96,477.89,0,3.0
181,71,motorcycle,741.17,366.16,763.76,391.15,1,10.0
181,35,car,577.61,417.18,637.56,463.99,0,3.0
181,71,motorcycle,741.17,366.16,763.76,391.15,1,10.0
181,6,motorcycle,644.09,447.72,670.07,483.12,0,3.0
182,71,motorcycle,742.29,367.45,765.08,391.71,1,10.0
182,35,car,577.47,391.08,638.67,462.64,0,3.0
182,71,motorcycle,742.29,367.45,765.08,391.71,1,10.0
182,6,motorcycle,644.99,447.29,671.04,486.07,0,3.0
183,71,motorcycle,743.76,368.84,766.52,393.06,1,10.0
183,35,car,577.8,401.61,638.76,464.27,0,3.0
183,71,motorcycle,743.76,368.84,766.52,393.06,1,10.0
183,6,motorcycle,646.86,448.4,671.88,487.17,0,3.0
184,71,motorcycle,745.16,370.62,768.1,394.53,1,10.0
184,6,motorcycle,675.4,521.41,699.08,550.02,0,3.0
185,71,motorcycle,746.92,372.3,770.12,396.27,1,10.0
185,35,car,579.17,413.19,639.36,466.96,0,3.0
185,71,motorcycle,746.92,372.3,770.12,396.27,1,10.0
185,6,motorcycle,683.48,547.21,707.19,571.94,0,3.0
186,71,motorcycle,748.46,374.15,771.82,398.28,1,10.0
186,6,motorcycle,726.53,551.87,743.37,575.72,0,3.0
187,71,motorcycle,750.0,375.67,773.59,399.92,1,10.0
187,35,car,579.79,398.38,640.38,468.63,0,3.0
187,71,motorcycle,750.0,375.67,773.59,399.92,1,10.0
187,6,motorcycle,759.2,566.78,777.86,592.84,0,3.0
193,71,motorcycle,758.69,381.19,782.5,407.52,1,10.0
193,35,car,582.41,426.48,642.13,475.32,0,3.0
194,71,motorcycle,761.0,383.79,784.29,408.64,1,10.0
194,35,car,582.83,427.56,643.19,476.53,0,3.0
197,71,motorcycle,788.07,415.84,808.89,441.52,1,10.0
197,35,car,584.37,431.18,644.97,478.75,0,3.0
198,71,motorcycle,792.06,418.28,812.67,443.73,1,10.0
198,35,car,584.95,432.1,645.42,478.94,0,3.0
199,71,motorcycle,794.18,419.05,814.86,444.32,1,10.0
199,35,car,585.24,432.95,645.91,479.39,0,3.0
200,71,motorcycle,795.51,419.37,816.55,445.08,1,10.0
200,35,car,585.69,433.36,646.49,479.46,0,3.0
202,71,motorcycle,799.04,419.29,819.6,441.91,1,10.0
202,35,car,587.27,434.73,647.49,482.39,0,3.0
203,71,motorcycle,800.3,419.84,821.55,444.29,1,10.0
203,35,car,588.43,436.35,648.2,483.7,0,3.0
204,71,motorcycle,802.74,420.51,823.1,445.48,1,10.0
204,35,car,588.85,437.95,648.56,484.55,0,3.0
206,71,motorcycle,806.39,420.79,828.23,446.65,1,10.0
206,35,car,589.77,440.2,649.98,485.97,0,3.0
208,71,motorcycle,809.92,422.17,830.85,447.7,1,10.0
208,35,car,591.78,441.63,651.67,488.36,0,3.0
209,71,motorcycle,811.74,422.8,832.64,447.94,1,10.0
209,35,car,592.57,442.45,652.22,489.32,0,3.0
210,71,motorcycle,813.49,423.24,834.67,448.6,1,10.0
210,35,car,593.17,443.68,652.44,489.49,0,3.0
211,71,motorcycle,815.55,423.54,836.4,449.49,1,10.0
211,35,car,593.18,444.64,652.81,490.84,0,3.0
213,71,motorcycle,819.53,424.34,840.03,450.21,1,10.0
213,35,car,594.86,446.36,653.91,491.75,0,3.0
215,71,motorcycle,823.43,426.32,844.43,451.86,1,10.0
215,35,car,596.46,448.81,654.96,494.36,0,3.0
216,71,motorcycle,825.4,427.06,846.4,451.44,1,10.0
216,35,car,597.06,450.01,655.85,495.85,0,3.0
217,71,motorcycle,827.23,427.76,848.74,452.15,1,10.0
217,35,car,597.7,450.35,656.79,496.94,0,3.0
218,71,motorcycle,829.34,428.98,850.75,452.86,1,10.0
218,35,car,598.18,451.15,657.28,498.79,0,3.0
219,71,motorcycle,831.46,429.78,852.61,453.05,1,10.0
219,35,car,598.72,452.01,657.5,500.33,0,3.0
220,71,motorcycle,833.46,430.68,855.05,453.69,1,10.0
220,35,car,599.23,453.32,657.93,501.54,0,3.0
221,71,motorcycle,835.6,431.24,857.03,453.73,1,10.0
221,35,car,599.65,454.27,658.41,502.49,0,3.0
222,71,motorcycle,814.63,423.72,837.42,446.7,1,10.0
222,35,car,599.9,454.66,658.78,503.79,0,3.0
223,71,motorcycle,808.08,421.6,831.51,444.86,1,10.0
223,35,car,600.03,455.09,659.08,505.0,0,3.0
224,71,motorcycle,806.93,421.43,830.34,444.7,1,10.0
224,35,car,600.31,455.58,659.33,505.82,0,3.0
225,71,motorcycle,807.5,422.11,831.07,445.28,1,10.0
225,35,car,600.69,456.35,659.62,506.16,0,3.0
226,71,motorcycle,808.84,422.84,832.95,445.8,1,10.0
226,35,car,601.02,457.31,659.82,505.91,0,3.0
227,71,motorcycle,810.66,423.57,834.71,446.6,1,10.0
227,35,car,601.16,457.54,660.01,506.65,0,3.0
228,71,motorcycle,812.14,424.21,836.18,447.27,1,10.0
228,35,car,601.8,458.3,660.42,503.87,0,3.0
229,71,motorcycle,813.67,425.0,837.87,447.63,1,10.0
229,35,car,601.71,458.54,660.64,505.58,0,3.0
230,71,motorcycle,815.36,425.46,839.51,448.27,1,10.0
230,35,car,601.45,458.93,660.89,506.92,0,3.0
231,71,motorcycle,816.71,426.16,840.72,448.98,1,10.0
231,35,car,601.32,458.97,661.02,507.83,0,3.0
232,71,motorcycle,818.24,426.74,842.22,449.6,1,10.0
232,35,car,601.18,459.25,661.16,508.16,0,3.0
233,71,motorcycle,819.59,427.12,843.64,450.26,1,10.0
233,35,car,601.04,459.75,661.26,509.33,0,3.0
234,71,motorcycle,821.1,427.7,844.98,450.63,1,10.0
234,35,car,600.89,460.13,661.28,508.98,0,3.0
235,71,motorcycle,822.26,428.4,846.14,451.26,1,10.0
235,35,car,601.17,460.41,661.4,509.56,0,3.0
236,71,motorcycle,823.62,429.35,847.47,451.73,1,10.0
236,35,car,601.59,460.67,661.6,509.44,0,3.0
237,71,motorcycle,825.17,429.69,848.75,452.11,1,10.0
237,35,car,602.19,460.85,661.76,510.0,0,3.0
238,71,motorcycle,826.72,430.03,850.13,452.27,1,10.0
238,35,car,602.68,460.97,662.07,510.41,0,3.0
239,71,motorcycle,828.15,430.5,851.81,452.53,1,10.0
239,35,car,602.95,461.1,662.27,510.67,0,3.0
240,71,motorcycle,829.31,430.89,853.1,452.92,1,10.0
240,35,car,603.22,461.17,662.4,510.7,0,3.0
241,71,motorcycle,830.52,431.21,854.06,453.07,1,10.0
241,35,car,603.4,461.22,662.53,510.79,0,3.0
242,71,motorcycle,831.77,431.58,855.2,453.29,1,10.0
242,35,car,603.76,461.17,662.64,510.36,0,3.0
2298,870,motorcycle,943.51,571.21,963.61,597.21,1,10.0
2298,924,car,972.54,615.44,1002.07,641.77,0,3.0
2299,870,motorcycle,943.59,571.14,963.62,597.11,1,10.0
2299,924,car,971.36,615.49,1001.95,641.91,0,3.0
2300,870,motorcycle,943.51,571.31,963.59,597.07,1,10.0
2300,924,car,970.94,616.28,1001.87,641.73,0,3.0
2301,870,motorcycle,943.46,571.39,963.56,597.09,1,10.0
2301,924,car,970.39,616.7,1001.69,641.41,0,3.0
2302,870,motorcycle,943.51,571.42,963.56,597.1,1,10.0
2302,924,car,972.79,618.09,1001.34,641.42,0,3.0
2303,870,motorcycle,943.56,571.49,963.56,597.09,1,10.0
2303,924,car,974.05,618.81,1000.99,641.46,0,3.0
2304,870,motorcycle,943.47,571.34,963.56,597.36,1,10.0
2304,924,car,974.7,619.05,1000.69,641.29,0,3.0
2305,870,motorcycle,943.48,571.4,963.48,597.21,1,10.0
2305,924,car,974.96,619.23,1000.48,641.33,0,3.0
2306,870,motorcycle,943.56,571.62,963.5,597.21,1,10.0
2306,924,car,975.03,619.24,1000.34,641.35,0,3.0
2307,870,motorcycle,943.65,571.67,963.51,597.29,1,10.0
2307,924,car,975.07,619.23,1000.23,640.81,0,3.0
2308,870,motorcycle,943.8,571.7,963.51,597.27,1,10.0
2308,924,car,974.97,619.22,1000.14,640.12,0,3.0
2309,870,motorcycle,944.95,571.86,963.64,597.44,1,10.0
2309,924,car,974.84,619.18,999.94,640.09,0,3.0
2310,870,motorcycle,945.37,571.85,963.68,597.42,1,10.0
2310,924,car,974.68,619.19,999.92,639.79,0,3.0
2311,870,motorcycle,945.53,571.9,963.74,597.44,1,10.0
2311,924,car,974.46,619.2,999.83,639.75,0,3.0
